movieId;movieName;releaseDate
322;A Midsummer Night's Dream:;1935, 1959, 1968 & 1999
323;A Midsummer Night's Sex Comedy;1982
324;A Midwinter's Tale;1996
325;A Mighty Heart;2007
326;A Mighty Wind;2003
327;A Moment to Remember;2004
328;A Mongolian Tale;1995
329;A Monster Calls;2016
330;A Mother's Prayer;1995
331;A Movie;1958
332;A Muppet Family Christmas;1987 TV
333;A Murder Beside Yanhe River;2014
334;A Murder of Crows;1999
335;A Nation Is Built;1938
336;A Natural Born Gambler;1916
337;A Natural Man;1915
338;A New Leaf;1971
339;A Night Out:;1915 & 1961
340;A Night at the Garden;2017
341;A Night at the Opera;1935
342;A Night at the Roxbury;1998
343;A Night in Casablanca;1946
344;A Night in Heaven;1983
345;A Night in the Show;1915
346;A Night to Remember:;1942 & 1958
347;A Nightmare on Elm Street;1984 & 2010
348;A Nightmare on Elm Street;1984
349;A Nightmare on Elm Street;2010
350;A Nightmare on Elm Street 2: Freddy's Revenge;1985
351;A Nightmare on Elm Street 3: Dream Warriors;1987
352;A Nightmare on Elm Street 4: The Dream Master;1988
353;A Nightmare on Elm Street 5: The Dream Child;1989
354;A Page of Madness;1926
355;A Passage to India;1984
356;A Patch of Blue;1965
357;A Peasant on a Bicycle;1974
358;A Perfect Couple;1979
359;A Perfect Getaway;2009
360;A Perfect Little Man;1999
361;A Perfect Murder;1998
362;A Perfect World;1993
363;A Personal Journey with Martin Scorsese Through American Movies;1995
364;A Piano for Mrs. Cimino;1982
365;A Piece of the Action;1977
366;A Place Between – The Story of an Adoption;2007
367;A Place Called Chiapas;1998
368;A Place Nearby;2000
369;A Place for Annie;1994
370;A Place for Lovers;1968
371;A Place in the Land;1998
372;A Place in the Sun;1951
373;A Place of One's Own;1945
374;A Place to Be Loved;1993
375;A Place to Call Home:;1970 & 1987 TV
376;A Place to Go;1963
377;A Place to Grow;1995
378;A Place to Live;1941
379;A Prairie Home Companion;2006
380;A Price Above Rubies;1998
381;A Private Function;1984
382;A Private Matter;1992
383;A Problem with Fear;2003
384;A Professional Gun;1968
385;A Prophet;2009
386;A Question of Faith;2017
387;A Question of Honor:;1915 & 1922
388;A Question of Honour;1965
389;A Question of Silence;1982
390;A Question of Taste;2000
391;A Quiet Little Marriage;2008
392;A Quiet Place;2018
393;A Raisin in the Sun:;1961 & 2008
394;A Ring of Endless Light;2002
395;A River Made to Drown In;1997
396;A River Runs Through It;1992
397;A Robust Romeo;1914
398;A Room for Romeo Brass;2000
399;A Room with a View:;1986 & 2007
400;A Royal Affair;2012
401;A Royal Scandal:;1945 & 1996
402;A Safe Place;1971
403;A Saintly Switch;1999
404;A Scanner Darkly;2006
405;A Scene at the Sea;1991
406;A Separation;2011
407;A Serbian Film;2010
408;A Serious Man;2009
409;A Severa;1931
410;A Ship Bound for India;1947
411;A Ship Comes In;1928
412;A Shock to the System;1990
413;A Shyam Gopal Varma Film;2015
414;A Simple Favor;TBA
415;A Simple Noodle Story;2009
416;A Simple Plan;1998
417;A Simple Twist of Fate;1994
418;A Simple Wish;1997
419;A Single Man;2009
420;A Single Shot;2013
421;A Slight Case of Murder;1938
422;A Slipping-Down Life;1999
423;A Small Domain;1996
424;A Snow White Christmas;1980
425;A Soldier's Daughter Never Cries;1998
426;A Soldier's Prayer;1961
427;A Soldier's Story;1984
428;A Song Is Born;1948
429;A Soul Haunted by Painting;1994
430;A Sound of Thunder;2005
431;A Special Day;1977
432;A Special Sesame Street Christmas;1978
433;A Spray of Plum Blossoms;1931
434;A Star is Born:;1937, 1954, 1976 & 2018
435;A State of Mind;2004
436;A Stolen Life;1946
437;A Story of Floating Weeds;1934
438;A Stranger Among Us;1992
439;A Stranger in Town;1943
440;A Streetcar Named Desire;1951
441;A Study in Terror;1965
442;A Summer Place;1959
443;A Summer in Genoa;2008
444;A Summer in the Cage;2007
445;A Sunday in the Country;1984
446;A Swedish Love Story;1970
447;A Tale of Two Cities:;1911 & 1935
448;A Tale of Two Kitties;1942
449;A Tale of Two Sisters:;1989 & 2003
450;A Talking Picture;2003
451;A Taste of Honey;1961
452;A Taxing Woman;1987
453;A Thin Line Between Love and Hate;1996
454;A Thousand Acres;1997
455;A Thousand Clouds of Peace;2003
456;A Thousand Clowns;1965
457;A Thousand Words;2012
458;A Ticket to Tomahawk;1950
459;A Tiger Walks;1964
460;A Time for Burning;1966
461;A Time for Drunken Horses;2000
462;A Time for Miracles;1980
463;;
464;A Time to Kill;1996
465;A Time to Love and a Time to Die;1958
466;A Touch of Class;1973
467;A Touch of Zen;1969
468;A Town Called Panic;2009
469;A Town Like Alice;1956
470;A Trap for Santa Claus;1909
471;A Tree Grows in Brooklyn;1945
472;A Tree of Palme;2002
473;A Trip to the Moon;1902
474;A Troll in Central Park;1994
475;A Vacation in Hell;1979 TV
476;A Vanished World;1922
477;A Very Brady Sequel;1996
478;A Very Harold & Kumar 3D Christmas;2011
479;A Very Long Engagement;2004
480;A Very Young Lady;1941
481;A View to a Kill;1985
482;A Violent Prosecutor;2016
483;A Virgin Among the Living Dead;1973
484;A Walk Among the Tombstones;2014
485;A Walk To Remember;2002
486;A Walk in the Clouds;1995
487;A Walk in the Sun:;1945 & 1978
488;A Walk in the Woods;2015
489;A Walk on the Moon;1999
490;A Way of Life;2004
491;A Wedding;1978
492;A Wedding for Bella;2001
493;A Wednesday!;2008
494;A Wicked Tale;2005
495;A Wicked Woman;1934
496;A Wild Hare;1940
497;A Winter Rose;2014
498;A Wolf in the Door;2013
499;A Woman;1915
500;A Woman Is a Woman;1961
501;A Woman Rebels;1936
502;A Woman Under the Influence;1974
503;A Woman of Paris;1923
504;A Woman of the Sea;1926
505;A Woman's Decision;1975
506;A World Apart;1998
507;A World Without Thieves;2004
508;A Wreath in Time;1909
509;A Wreck A Tangle;2000
510;A Wrinkle in Time;2003 TV & 2018
511;A Yank Comes Back;1949
512;A Yank at Eton;1942
513;A Yank at Oxford;1938
514;A Yank in Australia;1942
515;A Yank in Ermine;1955
516;A Yank in Indo-China;1952
517;A Yank in Korea;1951
518;A Yank in Libya;1942
519;A Yank in Rome;1946
520;A Yank in Viet-Nam;1964
521;A Yank in the R.A.F.;1941
522;A Yank on the Burma Road;1942
523;A Yankee Go Getter;1921
524;A Yankee Princess;1919
525;A Year Without Love;2005
526;A Year of the Quiet Sun;1984
527;A Yiddish World Remembered;2002
528;A Zed & Two Noughts;1985
529;A-Haunting We Will Go;1942
530;A-ge-man;1990
531;A.K.G.;2007
532;ABBA: The Movie;1977
533;ABCD 2;2015
534;ABHAAS;1996
535;ACAB – All Cops Are Bastards;2012
536;AKA;2002
537;APT;2006
538;ATL;2006
539;ATM;2012
540;AVPR: Aliens vs Predator - Requiem;2007
541;Aa Ab Laut Chalen;1999
542;Aa Chithrashalabham Parannotte;1970
543;Aa Dekhen Zara;2009
544;Aa Dinagalu;2007
545;Aa Divasam;1982
546;Aa Gale Lag Jaa:;1973 & 1994
547;Aa Jaa Sanam;1975
548;Aa Naluguru;2004
549;Aa Neram Alppa Dooram;1985
550;Aa Nimisham;1977
551;Aa Okkadu;2009
552;Aa Okkati Adakku;1992
553;Aa Raathri;1983
554;Aaaah;2014
555;Aaag Hi Aag;1999
556;Aabharanacharthu;2002
557;Aabhijathyam;1971
558;Aabra Ka Daabra;2004
559;Aabroo, 1943 & 1968;
560;Aachariyangal;2012
561;Aacharyan;1993
562;Aachi & Ssipak;2006
563;Aada Paduchu;1967
564;Aadaalla Majaka;1995
565;Aadab Arz;1943
566;Aadama Jaichomada;2014
567;Aadamkhor;1986
568;Aadanthe Ado Type;2013
569;Aadarsa Kutumbam;1969
570;Aadarsham;1993
571;Aadat Se Majboor;1982
572;Aadavaallu Meeku Joharlu;1981
573;Aadavari Matalaku Arthale Verule;2007
574;Aadhaaram;1992
575;Aadharsam;1982
576;Aadharshila;1982
577;Aadhi;2006
578;Aadhi Haqeeqat, Aadha Fasana;1990
579;Aadhi Mimansa;1991
580;Aadhi Raat;1950
581;Aadhi Raat Ke Baad;1965
582;Aadhi Thaalam;1990
583;Aadhipathyam;1983
584;Aadhityan;1993
585;Aadhiyugam;1985
586;Aadhya Paadam;1977
587;Aadhyamayi;1991
588;Aadhyate Anubhavam;1987
589;Aadhyathe Katha;1972
590;Aadi;2002 & 2005
591;Aadi Mimansa;1991
592;Aadi Velli;1990
593;Aadipaapam;1979
594;Aadithya;1996
595;Aadmi;1939, 1968 & 1993
596;Aadmi Aur Aurat;1984
597;Aadmi Aur Insaan;1969
598;Aadmi Khilona Hai;1993
599;Aadmi Sadak Ka;1977
600;Aadu;2015
601;Aadu Magaadra Bujji;2013
602;Aadu Puli;2011
603;Aadu Puli Attam;1977 & 2006
604;Aadukalam;2011
605;Aadum Koothu;2005
606;Aadyakiranangal;1964
607;Aadyarathrikku Munbu;1987
608;Aadyathe Anuraagam;1983
609;Aadyathe Kanmani;1995
610;Aafat;1977
611;Aag Aandhi Aur Toofan;1994
612;Aag Aur Chingari;1994
613;Aag Aur Daag;1970
614;Aag Aur Shola;1986
615;Aag Aur Toofan;1975
616;Aag Hi Aag;1987
617;Aag Ka Dariya;1953
618;Aag Ka Gola;1990
619;Aag Ka Toofan;1993
620;Aag Ke Sholay;1988
621;Aag Laga Do Sawan Ko;1991
622;Aag Se Khelenge;1989
623;Aag:;1948, 1994 & 2007
624;Aagadu;2014
625;Aagamanam;1980
626;Aagatha;1995
627;Aagathan;2010
628;Aagaya Thamaraigal;1985
629;Aage Badho;1947
630;Aage Kadam;1943
631;Aage Ki Soch;1988
632;Aagey Se Right;2009
633;Aaghaaz;2000
634;Aaghosham;1998
635;Aagneyam;1993
636;Aagraham;1984
637;Aah;1953
638;Aaha Kalyanam;2014
639;Aahaa;1997
640;Aahaa Enna Porutham;1997
641;Aahaa Ethanai Azhagu;2003
642;Aahaa...!;1998
643;Aahat – Ek Ajib Kahani;2010
644;Aahuti;1950 & 1978
645;Aahvaanam;1997
646;Aai Bahar;1946
647;Aai Shappath..!;2006
648;Aaina:;1974 & 1993
649;Aaj Ka Arjun;1990
650;Aaja Nachle;2007
651;Aakhree Raasta;1986
652;Aakrosh:;1980, 1998 & 2010
653;Aalvar;2006
654;Aamdani Atthani Kharcha Rupaiyaa;2001
655;Aamir;2008
656;Aan;1952
657;Aan: Men at Work;2004
658;Aanaval Mothiram;1990
659;Aandhi;1975
660;Aankh Michouli;1942
661;Aankhen:;1950, 1968, 1993 & 2002
662;Aao Pyaar Karen;1994
663;Aap Mujhe Achche Lagne Lage;2002
664;Aapathbandhavudu;1992
665;Aapo;1994
666;Aar Paar;1954
667;Aarakshan;2011
668;Aaron Loves Angela;1975
669;Aaru;2005
670;Aarzoo;1999
671;Aasai;1995
672;Aashayein;2010
673;Aashiq Awara;1993
674;Aashiq Banaya Aapne;2005
675;Aashiq Banaya Aapne: Love Takes Over;2005
676;Aashiq:;1962 & 2001
677;Aashiqui;1990
678;Aathi;2006
679;Aatish: Feel the Fire;1994
680;Aaye Din Bahar Ke;1966
681;Aayitha Ezhuthu;2004
682;Aayushkalam;1992
683;Ab Tak Chhappan;2004
684;Ab Tak Chhappan 2;2015
685;Abandon;2002
686;Abandoned:;1949, 2001 & 2010
687;Abbott and Costello Go to Mars;1953
688;Abbott and Costello Meet Captain Kidd;1952
689;Abbott and Costello Meet Dr. Jekyll and Mr. Hyde;1953
690;Abbott and Costello Meet Frankenstein;1948
691;Abbott and Costello Meet the Invisible Man;1951
692;Abbott and Costello Meet the Keystone Kops;1955
693;Abbott and Costello Meet the Killer, Boris Karloff;1949
694;Abbott and Costello Meet the Mummy;1955
695;Abbott and Costello in Hollywood;1945
696;Abbott and Costello in the Foreign Legion;1950
697;Abby;1974
698;Abduction:;1975 & 2011
699;Abduction: The Megumi Yokota Story;2006
700;Abe Lincoln in Illinois;1940
701;Abel's Island;1988
702;Aberdeen;2002
703;Aberration;1997
704;Abhijan;1962
705;Abhimaan;1973
706;Abhimanyu:;1948, 1989 & 1991
707;Abnormal Family: Older Brother's Bride;1984
708;About Adam;2000
709;About Cherry;2012
710;About Last Night...;1986
711;About Schmidt;2002
712;About Time:;1962 & 2013
713;About a Boy;2002
714;Above Suspicion:;1943 & 1995
715;Above the Law;1988
716;Above the Mountains;1992
717;Above the Rim;1994
718;Abraham;1994
719;Abraham Lincoln: Vampire Hunter;2012
720;Abraham and Eugenia: Stories from Jewish Cuba;1994
721;Abraham's Gold;1990
722;Abraham's Valley;1993
723;Abraxas, Guardian of the Universe;1990
724;Abre los ojos;1997
725;Abruptio;2019
726;Absence of Malice;1981
727;Absolut Warhola;2001
728;Absolute Power;1997
729;Absolute Zero;2006
730;Acacia;2003
731;Accattone;1961
732;Accepted;2006
733;Accident Man;2018
734;Accident:;1928, 1967, 1985, 2008 & 2009
735;Accidentally Engaged;
736;Acción mutante;1993
737;Accumulator 1;1994
738;Accused;1936
739;Accused of Murder;1956
740;Ace Drummond;1936
741;Ace High:;1919 & 1968
742;Ace Ventura Jr.: Pet Detective;2009
743;Ace Ventura: Pet Detective;1994
744;Ace Ventura: When Nature Calls;1995
745;Ace in the Hole;1951
746;Aces Go Places;1982
747;Aces Go Places 2;1983
748;Aces Go Places 3;1984
749;Aces Go Places 4;1986
750;Aces High;1976
751;Aces: Iron Eagle III;1992
752;Achan:;1952 & 2011
753;Achut Kanya;1936
754;Across 110th Street;1972
755;Across the Bridge;1957
756;Across the Pacific;1942
757;Across the Tracks;1991
758;Across the Universe;2007
759;Across the Wide Missouri;1951
760;Act of Valor;2012
761;Act of Vengeance;1986
762;Act of Violence:;1949, 1956, & 1959
763;Action Jackson:;1988 & 2014
764;Action Replayy;2010
765;Action in the North Atlantic;1943
766;Actor:;1993 & 2016
767;Acts of Vengeance;2017
768;Ad Astra;2019
769;Ad Fundum;1993
770;Ad-lib Night;2006
771;Adada;1987
772;Adam & Steve;2005
773;Adam's Apples;2005
774;Adam's Rib;1949
775;Adam:;1983 TV, 1992 short & 2009
776;Adanggaman;2000
777;Adaptation.;2002
778;Addams Family Reunion;1998
779;Addams Family Values;1993
780;Addicted to Love;1997
781;Addicted:;2002 & 2008
782;Addiction;2004
783;Addio Zio Tom;1971
784;Address Unknown:;1944 & 2001
785;Adharam;1992
786;Adharm:;1992 & 2006
787;Adiós, Sabata;1971
788;Admission;2013
789;Admission by Guts;2015
790;Admissions;2011
791;Adore;2013
792;Adrenaline Rush;2002
793;Adrift;2018
794;Adutha Varisu;1995
795;Adventure;1945
796;Adventure for Two;1943
797;Adventureland;2009
798;Adventures in Babysitting:;1987 & 2016
799;Adventures in Wild California;2000
800;Adventures of Captain Marvel;1941
801;Adventures of Don Juan;1948
802;Adventures of Juku the Dog;1931
803;Adventures of a Dentist;1965
804;Adventures of the Road-Runner;1964
805;Advise & Consent;1962
806;Ae Dil Hai Mushkil;2016
807;Ae Fond Kiss...;2004
808;Aeg elada, aeg armastada;1976
809;Aelita;1924
810;Aerial Anarchists;1911
811;Aerograd;1935
812;Aesop's Film Fables;1921
813;Aetbaar;2004
814;Aethiree;2004
815;Affair in Trinidad;1952
816;Afflicted;2013
817;Affliction:;1996 & 1997
818;Afghan Breakdown;1990
819;Aflatoon;1997
820;Africa Screams;1949
821;Africa: The Serengeti;1994
822;African Cats;2011
823;After All It's Only Life;1993
824;After Dark, My Sweet;1990
825;After Death;1988
826;After Earth;2013
827;After Hours;1985
828;After Jimmy;1996
829;After Life;1998
830;After Office Hours;1935
831;After Stonewall;1999
832;After the Fox;1966
833;After the Rehearsal;1984 TV
834;After the Sunset;2004
835;After the Thin Man;1936
836;After the Wedding;2006
837;After...;1993
838;After.Life;2009
839;After:;2012 & 2019
840;AfterLife;2003
841;Afterglow;1997
842;Aftermath:;1990, 1994, 2004, 2012, 2014 & 2017
843;Aftermath: The Remnants of War;2001
844;Aftershock;2010 & 2012
845;Against All Odds;1984
